Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Unit,Aggregator,Disaggregator,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,162
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,182
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,183
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,217
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,194
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,206
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,211
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,162
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,188
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,150
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,127
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,150
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,311
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,349
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Crude rate,,,7.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Number,,,83
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Age-adjusted rate,,,7.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Crude rate,,,7.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Number,,,85
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Age-adjusted rate,,,7.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Crude rate,,,10.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Number,,,126
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Age-adjusted rate,,,11.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Crude rate,,,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Number,,,117
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Age-adjusted rate,,,10.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Crude rate,,,15
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Number,,,133
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,Age-adjusted rate,,,15.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,22
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,28
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,30
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,23
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,35
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,57
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,Number,,,52
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Crude rate,,,6.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Number,,,88
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Age-adjusted rate,,,6.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Crude rate,,,7.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Number,,,106
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Age-adjusted rate,,,8.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Crude rate,,,6.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Number,,,93
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Age-adjusted rate,,,7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Crude rate,,,1.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Number,,,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Age-adjusted rate,,,2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Crude rate,,,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Number,,,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,Age-adjusted rate,,,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,33
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,21
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,31
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,Number,,,6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Crude rate,,,6.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Number,,,867
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Age-adjusted rate,,,6.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Crude rate,,,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Number,,,1265
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Age-adjusted rate,,,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Crude rate,,,10.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Number,,,1477
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Age-adjusted rate,,,10.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Crude rate,,,10.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Number,,,1517
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Age-adjusted rate,,,10.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Crude rate,,,15.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Number,,,1693
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,Age-adjusted rate,,,15.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,214
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,218
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,240
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,238
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,311
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,414
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,302
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,309
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,325
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,396
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,447
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,450
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,465
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,239
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,363
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,454
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,615
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,Number,,,624
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Crude rate,,,3.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Number,,,258
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Age-adjusted rate,,,3.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Crude rate,,,3.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Number,,,281
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Age-adjusted rate,,,3.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Crude rate,,,2.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Number,,,207
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Age-adjusted rate,,,2.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Crude rate,,,4.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Number,,,414
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Age-adjusted rate,,,4.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Crude rate,,,6.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Number,,,431
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,Age-adjusted rate,,,6.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,66
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,64
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,60
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,66
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,79
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,54
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,50
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,42
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,61
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,119
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,83
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,103
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,109
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,116
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,148
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,Number,,,167
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Crude rate,,,4.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Number,,,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Age-adjusted rate,,,4.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Crude rate,,,5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Number,,,38
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Age-adjusted rate,,,5.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Crude rate,,,3.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Number,,,30
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Age-adjusted rate,,,3.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Crude rate,,,4.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Number,,,35
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Age-adjusted rate,,,4.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Crude rate,,,3.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Number,,,21
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,Age-adjusted rate,,,3.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,12
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By quarter,Number,,,12
